shift_frac,method,seed,Q,negative_share,glin_bad_share,coll_bad_share,time_sec,evals
-0.04,bf_capped,,0.08809054054054052,0.1215,0.010135135135135136,0.0,1.0491227000020444,30000
-0.04,ga,42,0.06604054054054054,0.09,0.010135135135135136,0.0,1.2719563000136986,14658
-0.04,ga,43,0.062299999999999994,0.089,0.0,0.0,1.1249974000093061,14526
-0.04,ga,44,0.06534054054054053,0.089,0.010135135135135136,0.0,1.5245519999880344,18738
-0.02,bf_capped,,0.07944999999999999,0.1135,0.0,0.0,1.0593511000042781,30000
-0.02,ga,42,0.06779054054054054,0.0925,0.010135135135135136,0.0,1.6494185000192374,21221
-0.02,ga,43,0.06475,0.0925,0.0,0.0,0.9335837999824435,12102
-0.02,ga,44,0.0644,0.092,0.0,0.0,1.776666700025089,21885
0.0,bf_capped,,0.077,0.11,0.0,0.0,1.05955800000811,30000
0.0,ga,42,0.06779054054054054,0.0925,0.010135135135135136,0.0,1.6921214000030886,21231
0.0,ga,43,0.06475,0.0925,0.0,0.0,1.0432521999755409,13334
0.0,ga,44,0.06649999999999999,0.095,0.0,0.0,1.0503261999983806,13308
0.02,bf_capped,,0.07594999999999999,0.1085,0.0,0.0,1.075517499994021,30000
0.02,ga,42,0.06615,0.0945,0.0,0.0,1.268250299995998,16198
0.02,ga,43,0.06576351351351352,0.0925,0.0033783783783783786,0.0,1.7902829999802634,22723
0.02,ga,44,0.0658,0.094,0.0,0.0,1.7238676999986637,21993
0.04,bf_capped,,0.08151351351351352,0.115,0.0033783783783783786,0.0,1.0519320000021253,30000
0.04,ga,42,0.07171351351351352,0.101,0.0033783783783783786,0.0,1.243262699979823,15895
0.04,ga,43,0.07311351351351351,0.103,0.0033783783783783786,0.0,1.0328380999853835,13339
0.04,ga,44,0.07031351351351352,0.099,0.0033783783783783786,0.0,1.58521690001362,20296
