parameter,value,final_generation,final_quality_score,total_tested_matrices,total_time_sec
population_size,220.0,69,0.0588020790,46088,7.498001
cxpb,0.6,69,0.0588020790,46088,7.354523
mutpb,0.25,69,0.0588020790,46088,7.089928
indpb,0.1,69,0.0588020790,46088,7.697603
indpb,0.2,58,0.0584020790,41325,7.116160
indpb,0.4,39,0.0584020790,35869,6.918384
indpb,0.75,37,0.0602777547,33782,6.771827
tournsize,3.0,69,0.0588020790,46088,8.113895
ngen,110.0,69,0.0588020790,46088,8.273526
patience,25.0,69,0.0588020790,46088,7.715718
