parameter,value,elapsed_sec,final_best_negative_share,global_best_negative_share,global_best_negative_count,quality_score_mkm,mkm_negative_share,mkm_glin_bad_share,mkm_coll_bad_share
population_size,180.0,0.863463,0.0930000000,0.0930000000,186,0.0689981289,0.0930000000,0.0033783784,0.0096153846
population_size,240.0,0.951278,0.0980000000,0.0980000000,196,0.0724981289,0.0980000000,0.0033783784,0.0096153846
population_size,300.0,1.036229,0.0920000000,0.0920000000,184,0.0682981289,0.0920000000,0.0033783784,0.0096153846
cxpb,0.55,0.672558,0.0925000000,0.0925000000,185,0.0686481289,0.0925000000,0.0033783784,0.0096153846
cxpb,0.65,0.746022,0.0995000000,0.0995000000,199,0.0755751559,0.0995000000,0.0101351351,0.0096153846
mutpb,0.22,0.685268,0.0940000000,0.0940000000,188,0.0696981289,0.0940000000,0.0033783784,0.0096153846
mutpb,0.3,0.786964,0.0965000000,0.0965000000,193,0.0734751559,0.0965000000,0.0101351351,0.0096153846
tournsize,2.0,0.693515,0.0940000000,0.0940000000,188,0.0686846154,0.0940000000,0.0000000000,0.0096153846
tournsize,3.0,0.688047,0.0930000000,0.0930000000,186,0.0689981289,0.0930000000,0.0033783784,0.0096153846
tournsize,4.0,0.684453,0.0970000000,0.0970000000,194,0.0767097713,0.0970000000,0.0101351351,0.0192307692
